자치구,"합계
가구수(가구)","합계
가구원수(명)",한부모가족지원법수급자_가구수(가구),한부모가족지원법수급자_가구원수(명),한부모가족지원법수급자_가구수(가구),한부모가족지원법수급자_가구원수(명),한부모가족지원법수급자_가구수(가구),한부모가족지원법수급자_가구원수(명),한부모가족지원법수급자_가구수(가구),한부모가족지원법수급자_가구원수(명),국민기초생활보장법수급자_가구수(가구),국민기초생활보장법수급자_가구원수(명),국가보훈법수급자_가구수(가구),국가보훈법수급자_가구원수(명)
계,29486,67828,4454,15050,4407,15003,47,47,0,0,25032,52778,0,0
종로구,310,693,96,268,94,266,2,2,0,0,214,425,0,0
중구,335,746,72,233,70,231,2,2,0,0,263,513,0,0
용산구,557,1152,85,253,85,253,0,0,0,0,472,899,0,0
성동구,640,1448,100,350,88,338,12,12,0,0,540,1098,0,0
광진구,1111,2605,170,582,170,582,0,0,0,0,941,2023,0,0
동대문구,1067,2497,169,614,169,614,0,0,0,0,898,1883,0,0
중랑구,2087,4909,311,1052,311,1052,0,0,0,0,1776,3857,0,0
성북구,1313,3028,193,676,189,672,4,4,0,0,1120,2352,0,0
강북구,1707,3955,262,910,262,910,0,0,0,0,1445,3045,0,0
도봉구,1531,3610,253,887,253,887,0,0,0,0,1278,2723,0,0
노원구,2240,5071,216,799,216,799,0,0,0,0,2024,4272,0,0
은평구,1897,4330,240,860,240,860,0,0,0,0,1657,3470,0,0
서대문구,886,2037,170,531,168,529,2,2,0,0,716,1506,0,0
마포구,812,1828,171,488,167,484,4,4,0,0,641,1340,0,0
양천구,1441,3345,195,720,195,720,0,0,0,0,1246,2625,0,0
강서구,2170,5056,355,1164,355,1164,0,0,0,0,1815,3892,0,0
구로구,1298,2875,226,686,207,667,19,19,0,0,1072,2189,0,0
금천구,1107,2491,188,618,186,616,2,2,0,0,919,1873,0,0
영등포구,642,1420,113,383,113,383,0,0,0,0,529,1037,0,0
동작구,824,1852,104,367,104,367,0,0,0,0,720,1485,0,0
관악구,1412,3266,187,651,187,651,0,0,0,0,1225,2615,0,0
서초구,504,1214,81,265,81,265,0,0,0,0,423,949,0,0
강남구,847,1982,102,330,102,330,0,0,0,0,745,1652,0,0
송파구,1486,3488,206,703,206,703,0,0,0,0,1280,2785,0,0
강동구,1262,2930,189,660,189,660,0,0,0,0,1073,2270,0,0
