ADM_SECT_C,SGG_NM,SGG_OID,COL_ADM_SE,GID,노인여�,노인의�,장애인�,장애인�_1,디지털배움터개수
"11740",占쏙옙占쏙옙占쏙옙,,"11740","125",3.000000000000000,25.000000000000000,19.000000000000000,12.000000000000000,7
"11710",占쏙옙占식깍옙,,"11710","126",3.000000000000000,23.000000000000000,17.000000000000000,17.000000000000000,9
"11680",占쏙옙占쏙옙占쏙옙,,"11680","127",7.000000000000000,9.000000000000000,23.000000000000000,17.000000000000000,2
"11650",占쏙옙占십깍옙,,"11650","128",4.000000000000000,6.000000000000000,11.000000000000000,13.000000000000000,4
"11620",占쏙옙占실깍옙,,"11620","129",1.000000000000000,36.000000000000000,6.000000000000000,8.000000000000000,7
"11590",占쏙옙占쌜깍옙,,"11590","130",3.000000000000000,10.000000000000000,8.000000000000000,9.000000000000000,6
"11560",占쏙옙占쏙옙占쏙옙占쏙옙,,"11560","131",4.000000000000000,20.000000000000000,4.000000000000000,7.000000000000000,8
"11545",占쏙옙천占쏙옙,,"11545","132",12.000000000000000,25.000000000000000,8.000000000000000,6.000000000000000,5
"11530",占쏙옙占싸깍옙,,"11530","133",1.000000000000000,17.000000000000000,9.000000000000000,8.000000000000000,10
"11500",占쏙옙占쏙옙占쏙옙,,"11500","134",5.000000000000000,38.000000000000000,30.000000000000000,17.000000000000000,8
"11470",占쏙옙천占쏙옙,,"11470","135",4.000000000000000,23.000000000000000,9.000000000000000,7.000000000000000,6
"11440",占쏙옙占쏙옙占쏙옙,,"11440","136",4.000000000000000,5.000000000000000,7.000000000000000,10.000000000000000,6
"11410",占쏙옙占쎈문占쏙옙,,"11410","137",4.000000000000000,18.000000000000000,7.000000000000000,7.000000000000000,9
"11380",占쏙옙占쏙옙占쏙옙,,"11380","138",7.000000000000000,22.000000000000000,16.000000000000000,10.000000000000000,8
"11350",占쏙옙占쏙옙占쏙옙,,"11350","139",6.000000000000000,30.000000000000000,20.000000000000000,27.000000000000000,6
"11320",占쏙옙占쏙옙占쏙옙,,"11320","140",5.000000000000000,54.000000000000000,12.000000000000000,8.000000000000000,6
"11305",占쏙옙占싹깍옙,,"11305","141",1.000000000000000,32.000000000000000,16.000000000000000,8.000000000000000,8
"11290",占쏙옙占싹깍옙,,"11290","142",7.000000000000000,23.000000000000000,4.000000000000000,3.000000000000000,5
"11260",占쌩띰옙占쏙옙,,"11260","143",5.000000000000000,48.000000000000000,2.000000000000000,3.000000000000000,9
"11230",占쏙옙占쎈문占쏙옙,,"11230","144",1.000000000000000,26.000000000000000,1.000000000000000,4.000000000000000,3
"11215",占쏙옙占쏙옙占쏙옙,,"11215","145",1.000000000000000,20.000000000000000,1.000000000000000,9.000000000000000,6
"11200",占쏙옙占쏙옙占쏙옙,,"11200","146",4.000000000000000,6.000000000000000,4.000000000000000,5.000000000000000,8
"11170",占쏙옙占쎄구,,"11170","147",2.000000000000000,4.000000000000000,3.000000000000000,6.000000000000000,3
"11140",占쌩깍옙,,"11140","148",2.000000000000000,3.000000000000000,2.000000000000000,8.000000000000000,5
"11110",占쏙옙占싸깍옙,,"11110","149",2.000000000000000,11.000000000000000,3.000000000000000,4.000000000000000,2
