,행정구,인구_인구(명),장애인_인구(명),고령자_인구(명),저소득한부모_가구수(가구),국민기초생활보장수급자_총수급자가구(가구),국민기초생활보장수급자_총수급자시설(개수),국민기초생활보장수급자_총수급자(명)
0,서울특별시,9414093,391859,1667411,29486,289518,610,403311
1,종로구,140397,5834,27958,310,4215,14,5559
2,중구,121441,5552,25055,335,4732,4,5905
3,용산구,217288,7621,39037,557,6691,11,8882
4,성동구,279374,11092,47720,640,7607,12,10241
5,광진구,336169,12183,54071,1111,9659,19,13261
6,동대문구,338115,15481,64468,1067,12527,27,16190
7,중랑구,384272,20279,74920,2087,19240,45,27154
8,성북구,429142,17471,77475,1313,11964,29,16740
9,강북구,291384,17186,66307,1707,15882,34,21917
10,도봉구,308986,15345,66998,1531,10867,55,15373
11,노원구,500104,26696,92040,2240,22755,35,32553
12,은평구,463298,21732,89650,1897,16753,39,25438
13,서대문구,308122,12348,55996,886,8525,25,11834
14,마포구,365111,12904,55914,812,7888,11,10969
15,양천구,438353,17621,72393,1441,12368,20,17463
16,강서구,566839,28508,97128,2170,22315,38,31000
17,구로구,394833,18520,75890,1298,9698,22,13861
18,금천구,229235,11615,42928,1107,9271,26,12625
19,영등포구,376139,14654,64810,642,9361,25,11828
20,동작구,380622,14317,68231,824,9664,16,13202
21,관악구,487192,20228,82447,1412,17573,33,22941
22,서초구,404484,10158,62347,504,5062,7,7418
23,강남구,537139,15158,81715,847,10930,11,15840
24,송파구,657101,20571,103573,1486,12048,23,17769
25,강동구,458953,18785,78340,1262,11923,24,16669
