동별,전체인구_소계,전체인구_남자,전체인구_여자,65세이상_인구_소계,65세이상 인구_남자,65세이상_인구_여자,65세이상_인구_내국인,65세이상_인구_내국인_남자,65세이상_인구_내국인_여자,"65세이상 인구
외국인",65세이상_인구_외국인_남자,65세이상 인구_외국인_여자
서울특별시,9667669,4675560,4992109,1667411,739300,928111,1658207,734417,923790,9204,4883,4321
종로구,152211,72980,79231,27958,12592,15366,27704,12448,15256,254,144,110
중구,130785,63377,67408,25055,11150,13905,24660,10946,13714,395,204,191
용산구,233284,113012,120272,39037,17035,22002,38478,16710,21768,559,325,234
성동구,288234,139691,148543,47720,21008,26712,47530,20902,26628,190,106,84
광진구,351252,168197,183055,54071,24245,29826,53737,24075,29662,334,170,164
동대문구,353601,171903,181698,64468,28702,35766,64255,28610,35645,213,92,121
중랑구,390140,191422,198718,74920,33609,41311,74790,33552,41238,130,57,73
성북구,441984,211246,230738,77475,33409,44066,77293,33318,43975,182,91,91
강북구,297702,144037,153665,66307,28618,37689,66170,28550,37620,137,68,69
도봉구,313989,152175,161814,66998,29963,37035,66942,29942,37000,56,21,35
노원구,508014,244010,264004,92040,39035,53005,91946,38990,52956,94,45,49
은평구,470602,224163,246439,89650,38644,51006,89422,38525,50897,228,119,109
서대문구,319554,150094,169460,55996,23876,32120,55502,23621,31881,494,255,239
마포구,375585,175006,200579,55914,23544,32370,55533,23355,32178,381,189,192
양천구,444010,216975,227035,72393,32495,39898,72235,32410,39825,158,85,73
강서구,574638,275585,299053,97128,42760,54368,96880,42638,54242,248,122,126
구로구,418418,206632,211786,75890,34455,41435,74491,33658,40833,1399,797,602
금천구,242818,122775,120043,42928,19691,23237,42226,19316,22910,702,375,327
영등포구,398085,196264,201821,64810,29472,35338,63349,28659,34690,1461,813,648
동작구,390432,188080,202352,68231,29900,38331,67872,29722,38150,359,178,181
관악구,501226,250687,250539,82447,36638,45809,81848,36340,45508,599,298,301
서초구,408451,195168,213283,62347,28237,34110,62228,28173,34055,119,64,55
강남구,534103,255363,278740,81715,36845,44870,81564,36766,44798,151,79,72
송파구,664514,319743,344771,103573,47747,55826,103361,47639,55722,212,108,104
강동구,464037,226975,237062,78340,35630,42710,78191,35552,42639,149,78,71
