행정기관,인구수(계),인구수(남),인구수(여),구성비(계),구성비(남),구성비(여),성비,세대수,세대당인구
서울특별시,9414093,4557609,4856484,100,48.41,51.59,93.85,4469158,2.11
종로구,140397,67834,72563,1.49,0.72,0.77,93.48,72507,1.94
중구,121441,58857,62584,1.29,0.63,0.66,94.04,64375,1.89
용산구,217288,104357,112931,2.31,1.11,1.2,92.41,109679,1.98
성동구,279374,135723,143651,2.97,1.44,1.53,94.48,133484,2.09
광진구,336169,161755,174414,3.57,1.72,1.85,92.74,169857,1.98
동대문구,338115,166040,172075,3.59,1.76,1.83,96.49,171703,1.97
중랑구,384272,188744,195528,4.08,2,2.08,96.53,187981,2.04
성북구,429142,206043,223099,4.56,2.19,2.37,92.35,197831,2.17
강북구,291384,141302,150082,3.1,1.5,1.59,94.15,144447,2.02
도봉구,308986,150001,158985,3.28,1.59,1.69,94.35,138188,2.24
노원구,500104,240221,259883,5.31,2.55,2.76,92.43,217858,2.3
은평구,463298,220342,242956,4.92,2.34,2.58,90.69,213827,2.17
서대문구,308122,146570,161552,3.27,1.56,1.72,90.73,147226,2.09
마포구,365111,170813,194298,3.88,1.81,2.06,87.91,181097,2.02
양천구,438353,214173,224180,4.66,2.28,2.38,95.54,181210,2.42
강서구,566839,271822,295017,6.02,2.89,3.13,92.14,274521,2.06
구로구,394833,193729,201104,4.19,2.06,2.14,96.33,184546,2.14
금천구,229235,115396,113839,2.44,1.23,1.21,101.37,120578,1.9
영등포구,376139,184615,191524,4,1.96,2.03,96.39,190482,1.97
동작구,380622,184103,196519,4.04,1.96,2.09,93.68,187058,2.03
관악구,487192,245081,242111,5.18,2.6,2.57,101.23,286647,1.7
서초구,404484,192850,211634,4.3,2.05,2.25,91.12,168590,2.4
강남구,537139,256737,280402,5.71,2.73,2.98,91.56,236935,2.27
송파구,657101,316010,341091,6.98,3.36,3.62,92.65,285798,2.3
강동구,458953,224491,234462,4.88,2.38,2.49,95.75,202733,2.26
