시설명,위도,경도,도로명주소,장애인 화장실 유무,장애인 전용 주차장 여부,오디오 가이드(한국어),가중치
KBS홀,37.52596989,126.916717,서울특별시 영등포구 여의공원로 13,1,1,1,3
KOCCA콘텐츠문화광장,37.59072601,127.044897,서울특별시 동대문구 회기로 66,1,1,0,2
SETEC,37.49567866,127.071912,서울특별시 강남구 남부순환로 3104,1,1,0,2
SH아트홀,37.57990114,127.003569,서울특별시 종로구 동숭길 25,0,0,0,0
가온스테이지,37.5531083,126.917526,서울특별시 마포구 잔다리로 59,0,0,0,0
강남씨어터,37.49537321,127.033284,서울특별시 강남구 역삼로7길 16,1,1,0,2
강남아트홀,37.50010872,127.024865,서울특별시 서초구 서초대로73길 30,0,0,0,0
강북문화예술회관,37.64098979,127.013878,서울특별시 강북구 삼각산로 85,1,1,0,2
강북솔밭국악당,37.65469703,127.012711,서울특별시 강북구 삼양로 579,1,1,1,3
경복궁아트홀,37.58335259,126.970697,서울특별시 종로구 자하문로 82,0,0,0,0
경향아트힐,37.56817327,126.969976,서울특별시 중구 정동길 3,1,1,1,3
공간아울,37.58187588,127.002293,서울특별시 종로구 대학로 120,0,0,0,0
광야아트센터,37.5238902,127.039645,서울특별시 강남구 선릉로 806,1,1,0,2
광화문아트홀,37.57420982,126.964661,서울특별시 종로구 인왕산로1길 21,1,0,1,2
구로아트밸리,37.4965583,126.888975,서울특별시 구로구 가마산로25길 9-24,1,1,1,3
구세군아트홀,37.56011237,126.962282,서울특별시 서대문구 충정로 7,1,1,1,3
국립극장,37.55199491,126.999267,서울특별시 중구 장충단로 59,1,1,0,2
국화소극장,37.50478291,126.941357,서울특별시 동작구 상도로30길 8,0,0,0,0
긱라이브하우스,37.55637961,126.932043,서울특별시 마포구 신촌로10길 7,0,0,0,0
김희수아트센터,37.59051371,127.043048,서울특별시 동대문구 홍릉로 118,1,1,0,2
꿈나무극장,37.48988027,126.88656,서울특별시 구로구 구로동로26길 54,1,1,1,3
꿈의숲아트센터,37.62025446,127.044325,서울특별시 강북구 월계로 173,1,1,0,2
꿈의숲아트센터,37.62025446,127.044325,서울특별시 강북구 월계로 173,1,1,0,2
꿈의숲아트센터,37.62025446,127.044325,서울특별시 강북구 월계로 173,1,1,0,2
나온씨어터,37.58770803,126.999406,서울특별시 종로구 혜화로9길 7,0,0,0,0
노원문화예술회관,37.65023685,127.080267,서울특별시 노원구 중계로 181,1,1,1,3
노을소극장,37.58296732,127.003236,서울특별시 종로구 대학로8가길 66,0,0,0,0
놀터예술공방,37.58944908,127.006897,서울특별시 성북구 성북로2길 19,0,0,0,0
대학로단막극장,37.58331254,127.004396,서울특별시 종로구 동숭4길 14,0,0,0,0
댕로홀,37.58185809,127.003722,서울특별시 종로구 대학로12길 50,0,1,0,1
더샵갤러리,37.52460391,127.03378,서울특별시 강남구 언주로 832,1,1,1,3
동덕여대공연예술센터,37.583699,127.003717,서울특별시 종로구 동숭길 122,1,1,0,2
동서울아트홀,37.53416451,127.091891,서울특별시 광진구 구의강변로 38,0,1,0,1
동숭무대소극장,37.58869101,126.999169,서울특별시 종로구 혜화로 35,1,1,0,2
동자아트홀,37.55167943,126.972905,서울특별시 용산구 한강대로 372,1,1,1,3
동작문화원,37.50444553,126.941088,서울특별시 동작구 장승배기로10길 42,1,1,1,3
동화소극장,37.58378095,126.998569,서울특별시 종로구 성균관로 6-5,0,0,0,0
두산아트센터,37.57181233,127.001,서울특별시 종로구 종로33길 15,1,1,0,2
디큐브아트센터,37.50812307,126.888213,서울특별시 구로구 경인로 662,1,1,1,3
라율아트홀,37.48244524,127.012615,서울특별시 서초구 반포대로 20,0,0,0,0
라트어린이극장,37.48428837,127.042315,서울특별시 강남구 논현로 164,0,0,0,0
레드빅스페이스,37.55213295,126.919458,서울특별시 마포구 잔다리로6길 5,0,0,0,0
로즈아트홀,37.61638248,127.063266,서울특별시 노원구 석계로7길 12-8,0,0,0,0
롯데콘서트홀,37.51375196,127.104447,서울특별시 송파구 올림픽로 300,1,1,1,3
룸어씨어터,37.58229402,127.002561,서울특별시 종로구 대학로8가길 30,0,0,0,0
마루아트홀,37.58229402,127.002561,서울특별시 종로구 대학로8가길 30,0,0,0,0
마리아칼라스홀,37.50249514,127.066034,서울특별시 강남구 영동대로 315,0,0,0,0
만리동예술인주택,37.55419456,126.962088,서울특별시 중구 만리재로27길 69,0,0,0,0
명동난타극장,37.56345745,126.983765,서울특별시 중구 명동길 26,1,0,0,1
모차르트홀,37.48641666,127.004525,서울특별시 서초구 명달로 104,1,1,1,3
문래예술공장,37.51321703,126.900126,서울특별시 영등포구 경인로88길 5-4,1,1,1,3
문화일보홀,37.56712921,126.968645,서울특별시 중구 새문안로 22,1,1,1,3
민속극장풍류,37.51009307,127.044625,서울특별시 강남구 봉은사로 406,1,1,0,2
백암아트홀,37.51067112,127.065879,서울특별시 강남구 테헤란로113길 7,0,0,0,0
베짱이홀,37.54846765,126.921536,서울특별시 마포구 독막로15길 3-12,0,0,0,0
북아현아트홀,37.56183981,126.955438,서울특별시 서대문구 북아현로 51,1,1,0,2
북촌나래홀,37.57886034,126.988435,서울특별시 종로구 창덕궁길 29-38,0,0,0,0
북촌창우극장,37.5789075,126.98886,서울특별시 종로구 창덕궁길 29-6,0,0,0,0
블라인드아트홀,37.53766929,127.079897,서울특별시 광진구 아차산로 331-1,0,0,0,0
블루스퀘어,37.54086944,127.002485,서울특별시 용산구 이태원로 294,1,1,1,3
산울림소극장,37.5550833,126.930109,서울특별시 마포구 와우산로 157,0,0,0,0
삼모아트센터,37.48231224,126.929023,서울특별시 관악구 신원로 35,0,1,1,2
상명아트센터,37.60410891,126.955159,서울특별시 종로구 홍지문2길 20,1,1,1,3
서대문문화체육회관,37.58075973,126.931557,서울특별시 서대문구 백련사길 39,1,1,1,3
서울돈화문국악당,37.57727785,126.990671,서울특별시 종로구 율곡로 102,1,0,0,1
서울애니메이션센터,37.5598231,126.983074,서울특별시 중구 소공로 48,1,1,1,3
서초아트센터,37.48702693,127.022,서울특별시 서초구 효령로 349-5,0,0,0,0
선돌극장,37.58681262,126.999765,서울특별시 종로구 혜화로5길 5,0,0,0,0
설렘아트홀,37.54704913,127.072382,서울특별시 광진구 능동로19길 23,0,0,0,0
성균소극장,37.5841854,126.997947,서울특별시 종로구 성균관로 12-3,0,0,0,0
성북마을극장,37.59164697,127.017351,서울특별시 성북구 동소문로20다길 10,1,0,0,1
성암아트센터,37.51105342,127.043021,서울특별시 강남구 선릉로111길 6,0,1,0,1
세우아트센터,37.58194665,127.003984,서울특별시 종로구 대학로12길 49,0,0,0,0
세종문화회관,37.57184786,126.976168,서울특별시 종로구 세종대로 175,1,1,0,2
세종문화회관,37.57184786,126.976168,서울특별시 종로구 세종대로 175,1,1,0,2
세종문화회관,37.57184786,126.976168,서울특별시 종로구 세종대로 175,1,1,0,2
세종문화회관,37.57184786,126.976168,서울특별시 종로구 세종대로 175,1,1,0,2
세종문화회관,37.57184786,126.976168,서울특별시 종로구 세종대로 175,1,1,0,2
세종문화회관,37.57184786,126.976168,서울특별시 종로구 세종대로 175,1,1,0,2
송파브이아트홀,37.49322416,127.145879,서울특별시 송파구 오금로 513,1,1,1,3
슈피겐홀,37.51136781,127.048517,서울특별시 강남구 봉은사로 446,0,1,0,1
신영체임버홀,37.52129732,126.928885,서울특별시 영등포구 국제금융로8길 16,1,1,1,3
아르코예술극장,37.58118552,127.003,서울특별시 종로구 대학로8길 7,1,1,0,2
아트선재센터,37.57946353,126.981839,서울특별시 종로구 율곡로3길 87,0,0,0,0
아트홀제이,37.51645448,127.11432,서울특별시 송파구 위례성대로 18,1,1,0,2
아티스탄홀,37.58309546,127.002103,서울특별시 종로구 대학로 132,0,0,0,0
암사어린이극장,37.56345434,127.133357,서울특별시 강동구 올림픽로 930,0,0,0,0
에이치씨어터,37.57759644,127.004725,서울특별시 종로구 이화장길 54,0,0,0,0
여행자극장,37.58894239,127.004653,서울특별시 성북구 성북로5길 9-3,0,0,0,0
연우소극장,37.58698605,127.001764,서울특별시 종로구 창경궁로35길 21,0,0,0,0
열린극장,37.58370537,127.000357,서울특별시 종로구 창경궁로 258-12,0,0,0,0
영산아트홀,37.52927196,126.924893,서울특별시 영등포구 여의공원로 101,1,1,0,2
영산양재홀,37.48048538,127.038418,서울특별시 서초구 바우뫼로37길 45,1,0,0,1
예림당아트홀,37.49792419,127.044357,서울특별시 강남구 언주로 337,1,1,0,2
예술의전당,37.4802402,127.014215,서울특별시 서초구 남부순환로 2406,1,1,0,2
예술의전당,37.4802402,127.014215,서울특별시 서초구 남부순환로 2406,1,1,0,2
예술의전당,37.4802402,127.014215,서울특별시 서초구 남부순환로 2406,1,1,0,2
예술의전당,37.4802402,127.014215,서울특별시 서초구 남부순환로 2406,1,1,0,2
예술의전당,37.4802402,127.014215,서울특별시 서초구 남부순환로 2406,1,1,0,2
오아시스아트홀,37.55415856,126.874347,서울특별시 강서구 양천로73길 80,0,0,0,0
유니버설아트센터,37.5509798,127.087095,서울특별시 광진구 천호대로 664,1,1,0,2
유니플렉스,37.58119758,127.00362,서울특별시 종로구 대학로12길 64,1,0,0,1
윤당아트홀,37.52565512,127.03373,서울특별시 강남구 언주로 844,1,0,0,1
일상비일상의틈,37.50058313,127.026761,서울특별시 강남구 강남대로 426,0,1,1,2
전태일기념관,37.56846645,126.9893,서울특별시 종로구 청계천로 105,1,0,1,2
정동1928아트센터,37.56799609,126.973957,서울특별시 중구 덕수궁길 130,1,0,1,2
제일라아트홀,37.57504416,126.89549,서울특별시 마포구 월드컵북로 323,1,1,1,3
졸탄극장,37.57789549,127.004632,서울특별시 종로구 이화장길 58,0,0,0,0
지즐소극장,37.58477079,126.999664,서울특별시 종로구 성균관로4길 42,0,0,0,0
창동극장,37.65283932,127.051609,서울특별시 도봉구 노해로 391,0,0,0,0
초록씨어터,37.58270506,127.002157,서울특별시 종로구 대학로 128,0,0,0,0
충동소극장,37.53227046,127.070634,서울특별시 광진구 뚝섬로36길 49,0,1,0,1
코델아트홀,37.58174734,127.004297,서울특별시 종로구 동숭길 78,0,0,0,0
코스모스아트홀,37.48285557,127.011557,서울특별시 서초구 반포대로 27,0,0,0,0
코엑스,37.51182391,127.059159,서울특별시 강남구 영동대로 513,1,1,1,3
코쿤홀,37.56033419,126.992135,서울특별시 중구 퇴계로30길 15-1,0,0,0,0
탈영역우정국,37.54695056,126.927612,서울특별시 마포구 독막로20길 42,0,0,0,0
틴틴홀,37.58160041,127.003554,서울특별시 종로구 대학로10길 24,1,0,0,1
포스트극장,37.55413897,126.929673,서울특별시 마포구 와우산로 148,0,0,0,0
푸르지오아트홀,37.56613918,126.997327,서울특별시 중구 을지로 170,1,0,0,1
프라임아트홀,37.50704384,126.890227,서울특별시 구로구 새말로 97,1,1,0,2
피카소소극장,37.58259066,127.000291,서울특별시 종로구 대학로11길 38-11,0,0,0,0
한국의집,37.5602235,126.994498,서울특별시 중구 퇴계로36길 10,1,1,1,3
한얼소극장,37.5867508,127.00164,서울특별시 종로구 창경궁로35길 17,0,0,1,1
한예극장,37.57820858,127.004719,서울특별시 종로구 이화장길 66,1,0,0,1
한전아트센터,37.48560466,127.028079,서울특별시 서초구 효령로72길 60,1,1,0,2
한전아트센터,37.48560466,127.028079,서울특별시 서초구 효령로72길 60,1,1,0,2
해피씨어터,37.58186091,127.00258,서울특별시 종로구 대학로10길 5,0,0,0,0
혜화아트센터,37.58496996,127.003098,서울특별시 종로구 대학로 156,0,0,1,1
호원아트홀,37.5262902,127.130305,서울특별시 강동구 성안로 30,1,1,0,2
후암스테이지,37.5820588,127.000418,서울특별시 종로구 대학로11길 23,1,0,0,1
